Number of commits: 125

NOTE: etcd was excluded because it doesn't compile due to grpc changes

Compilation time:
	* github.com/boltdb/bolt/cmd/bolt: from 616.387828ms to 608.214362ms, -1.33%
	* github.com/gogits/gogs: from 15.261902388s to 15.077212489s, -1.21%
	* github.com/spf13/hugo: from 7.572419367s to 7.442231971s, -1.72%
	* github.com/influxdata/influxdb/cmd/influxd: from 7.134895405s to 7.061516979s, -1.03%
	* github.com/nsqio/nsq/apps/nsqd: from 2.488679928s to 2.44750362s, -1.65%
	* github.com/mholt/caddy: from 5.572195354s to 5.444731663s, -2.29%

Binary size:
	* github.com/boltdb/bolt/cmd/bolt: from 2618526 to 2593283, -0.96%
	* github.com/gogits/gogs: from 23021534 to 22906574, -0.50%
	* github.com/spf13/hugo: from 14992636 to 14913467, -0.53%
	* github.com/influxdata/influxdb/cmd/influxd: from 15707782 to 15624774, -0.53%
	* github.com/nsqio/nsq/apps/nsqd: from 9845751 to 9796747, -0.50%
	* github.com/mholt/caddy: from 13283927 to 13227799, -0.42%

Bechmarks:
BenchmarkMsgpMarshal-4                   	10000000	       204 ns/op	     128 B/op	       1 allocs/op
BenchmarkMsgpUnmarshal-4                 	 3000000	       402 ns/op	     112 B/op	       3 allocs/op
BenchmarkVmihailencoMsgpackMarshal-4     	 1000000	      2091 ns/op	     352 B/op	       5 allocs/op
BenchmarkVmihailencoMsgpackUnmarshal-4   	 1000000	      1944 ns/op	     352 B/op	      13 allocs/op
BenchmarkJsonMarshal-4                   	  500000	      3450 ns/op	    1232 B/op	      10 allocs/op
BenchmarkJsonUnmarshal-4                 	  500000	      3603 ns/op	     416 B/op	       7 allocs/op
BenchmarkEasyJsonMarshal-4               	 1000000	      1478 ns/op	     784 B/op	       5 allocs/op
BenchmarkEasyJsonUnmarshal-4             	 1000000	      1495 ns/op	     160 B/op	       4 allocs/op
BenchmarkBsonMarshal-4                   	 1000000	      1563 ns/op	     392 B/op	      10 allocs/op
BenchmarkBsonUnmarshal-4                 	 1000000	      2051 ns/op	     248 B/op	      21 allocs/op
BenchmarkGobMarshal-4                    	 1000000	      1072 ns/op	      48 B/op	       2 allocs/op
BenchmarkGobUnmarshal-4                  	 1000000	      1121 ns/op	     112 B/op	       3 allocs/op
BenchmarkXdrMarshal-4                    	 1000000	      1744 ns/op	     455 B/op	      20 allocs/op
BenchmarkXdrUnmarshal-4                  	 1000000	      1559 ns/op	     240 B/op	      11 allocs/op
BenchmarkUgorjiCodecMsgpackMarshal-4     	  500000	      3050 ns/op	    2752 B/op	       8 allocs/op
BenchmarkUgorjiCodecMsgpackUnmarshal-4   	  500000	      3329 ns/op	    3008 B/op	       6 allocs/op
BenchmarkUgorjiCodecBincMarshal-4        	  500000	      3095 ns/op	    2784 B/op	       8 allocs/op
BenchmarkUgorjiCodecBincUnmarshal-4      	  500000	      3589 ns/op	    3168 B/op	       9 allocs/op
BenchmarkSerealMarshal-4                 	  500000	      3481 ns/op	     912 B/op	      21 allocs/op
BenchmarkSerealUnmarshal-4               	  500000	      3664 ns/op	    1008 B/op	      34 allocs/op
BenchmarkBinaryMarshal-4                 	 1000000	      1591 ns/op	     256 B/op	      16 allocs/op
BenchmarkBinaryUnmarshal-4               	 1000000	      1824 ns/op	     335 B/op	      22 allocs/op
BenchmarkFlatbuffersMarshal-4            	 5000000	       365 ns/op	       0 B/op	       0 allocs/op
BenchmarkFlatBuffersUnmarshal-4          	 5000000	       305 ns/op	     112 B/op	       3 allocs/op
BenchmarkCapNProtoMarshal-4              	 3000000	       511 ns/op	      56 B/op	       2 allocs/op
BenchmarkCapNProtoUnmarshal-4            	 3000000	       507 ns/op	     200 B/op	       6 allocs/op
BenchmarkCapNProto2Marshal-4             	 1000000	      1207 ns/op	     244 B/op	       3 allocs/op
BenchmarkCapNProto2Unmarshal-4           	 1000000	      1209 ns/op	     320 B/op	       6 allocs/op
BenchmarkHproseMarshal-4                 	 1000000	      1111 ns/op	     473 B/op	       8 allocs/op
BenchmarkHproseUnmarshal-4               	 1000000	      1247 ns/op	     320 B/op	      10 allocs/op
BenchmarkProtobufMarshal-4               	 1000000	      1167 ns/op	     200 B/op	       7 allocs/op
BenchmarkProtobufUnmarshal-4             	 2000000	       773 ns/op	     192 B/op	      10 allocs/op
BenchmarkGoprotobufMarshal-4             	 2000000	       608 ns/op	     312 B/op	       4 allocs/op
BenchmarkGoprotobufUnmarshal-4           	 2000000	       868 ns/op	     432 B/op	       9 allocs/op
BenchmarkGogoprotobufMarshal-4           	10000000	       182 ns/op	      64 B/op	       1 allocs/op
BenchmarkGogoprotobufUnmarshal-4         	 5000000	       276 ns/op	      96 B/op	       3 allocs/op
BenchmarkGencodeMarshal-4                	10000000	       194 ns/op	      80 B/op	       2 allocs/op
BenchmarkGencodeUnmarshal-4              	 5000000	       244 ns/op	     112 B/op	       3 allocs/op
BenchmarkGencodeUnsafeMarshal-4          	10000000	       122 ns/op	      48 B/op	       1 allocs/op
BenchmarkGencodeUnsafeUnmarshal-4        	10000000	       205 ns/op	      96 B/op	       3 allocs/op
PASS
ok  	github.com/alecthomas/go_serialization_benchmarks	69.800s

benchmark                                  old ns/op     new ns/op     delta
    Reviewed-on: https://go-review.googlesource.com/22324
    Reviewed-by: Alan Donovan <adonovan@google.com>

commit 60fd32a47fdffb95d3646c9fc75acc9beff67183
Author: Keith Randall <khr@golang.org>
Date:   Tue Apr 19 08:31:04 2016 -0700

    cmd/compile: change the way we handle large map values
    
    mapaccess{1,2} returns a pointer to the value.  When the key
    is not in the map, it returns a pointer to zeroed memory.
    Currently, for large map values we have a complicated scheme which
    dynamically allocates zeroed memory for this purpose.  It is ugly
    code and requires an atomic.Load in a bunch of places we'd rather
    not have it.
    
    Switch to a scheme where callsites of mapaccess{1,2} which expect
    large return values pass in a pointer to zeroed memory that
    mapaccess can return if the key is not found.  This avoids the
    atomic.Load on all map accesses with a few extra instructions only
    for the large value acccesses, plus a bit of bss space.
    
    There was a time (1.4 & 1.5?) where we did something like this but
    all the tricks to make the right size zero value were done by the
    linker.  That scheme broke in the presence of dyamic linking.
    The scheme in this CL works even when dynamic linking.
    
    Fixes #12337
    
    Change-Id: Ic2d0319944af33bbb59785938d9ab80958d1b4b1
    Reviewed-on: https://go-review.googlesource.com/22221
    Run-TryBot: Keith Randall <khr@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>

commit bc33dd7432369b3abd2a6fd75cb57d6c5c3defa7
Author: Rob Pike <r@golang.org>
Date:   Wed Apr 20 08:56:33 2016 -0700

    doc/faq: reword the link to the generics proposal
    
    A late response to CL 22163.
    
    Change-Id: I5275a22af7081875af0256da296811f4fe9832dc
    Reviewed-on: https://go-review.googlesource.com/22296
    Reviewed-by: David Symonds <dsymonds@golang.org>

commit 79c527f4a7643b6cc9e49f5e919d6f4a44f492ca
Author: David Crawshaw <crawshaw@golang.org>
Date:   Wed Apr 20 14:40:18 2016 -0400

    cmd/link: move ppc64 genplt declarations into loop
    
    (Split out from CL 22243.)
    
    Change-Id: I07709a0c417e7a57e839e5085a37db7d5fbf3a35
    Reviewed-on: https://go-review.googlesource.com/22322
    Run-TryBot: David Crawshaw <crawshaw@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 854ab14b7e20a419620a42b837a9cf45cbca8189
Author: David Crawshaw <crawshaw@golang.org>
Date:   Wed Apr 20 14:22:20 2016 -0400

    cmd/link: move pcln declarations into loops
    
    (Split out from CL 22243.)
    
    Change-Id: Idac1748c8db2b2ed0484e4afadb105c471c6ce34
    Reviewed-on: https://go-review.googlesource.com/22321
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Run-TryBot: David Crawshaw <crawshaw@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 1dad218da1239a8375b7fad5dd83e4a840e3fdbb
Author: David Crawshaw <crawshaw@golang.org>
Date:   Wed Apr 20 10:36:27 2016 -0400

    cmd/link: move declarations into loops
    
    (Split out from CL 22205.)
    
    Change-Id: Id32698f48ce02b55c15b6f2842215e0ffdbf425b
    Reviewed-on: https://go-review.googlesource.com/22298
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Run-TryBot: David Crawshaw <crawshaw@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit d8c9dd604801958c649a32511deef373adeecfe0
Author: OneOfOne <oneofone@gmail.com>
Date:   Sun Apr 10 03:50:11 2016 +0200

    math/big: implement GobDecode/Encode for big.Float
    
    Added GobEncode/Decode and a test for them.
    
    Fixes #14593
    
    Change-Id: Ic8d3efd24d0313a1a66f01da293c4c1fd39764a8
    Reviewed-on: https://go-review.googlesource.com/21755
    Reviewed-by: Robert Griesemer <gri@golang.org>

commit 7acb642e4f0b77763a13c99c756aa846b01a428c
Author: David Crawshaw <crawshaw@golang.org>
Date:   Wed Apr 20 10:29:43 2016 -0400

    test: print output on link -X failure
    
    (Split out from CL 22205.)
    
    Change-Id: Iab66ac2a1cd3716966d8e59c570931bce95aba9b
    Reviewed-on: https://go-review.googlesource.com/22297
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 46efe0bc7fb1933c74d80cd3fe7c47f21d042a5d
Author: Michael Munday <munday@ca.ibm.com>
Date:   Fri Apr 15 18:45:17 2016 -0400

    crypto/aes: add s390x assembly implementation
    
    Adds support for single block encryption using the cipher message
    (KM) instruction. KM handles key expansion internally and
    therefore it is not done up front when using the assembly
    implementation on s390x.
    
    Change-Id: I69954b8ae36d549e1dc40d7acd5a10bedfaaef9c
    Reviewed-on: https://go-review.googlesource.com/22194
    Run-TryBot: Michael Munday <munday@ca.ibm.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Bill O'Farrell <billotosyr@gmail.com>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit b57ac333310e8b8ec01708dcca99430b641457c5
Author: Keith Randall <khr@golang.org>
Date:   Fri Apr 15 12:49:30 2016 -0700

    cmd/compile: forward-looking desired register biasing
    
    Improve forward-looking desired register calculations.
    It is now inter-block and handles a bunch more cases.
    
    Fixes #14504
    Fixes #14828
    Fixes #15254
    
    Change-Id: Ic240fa0ec6a779d80f577f55c8a6c4ac8c1a940a
    Reviewed-on: https://go-review.googlesource.com/22160
    Run-TryBot: Keith Randall <khr@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: David Chase <drchase@google.com>

commit 30c278dbe907111b51737adb8ba0a9e1956f3ed5
Author: Jamil Djadala <djadala@gmail.com>
Date:   Wed Apr 20 09:08:28 2016 +0300

    container/heap: correct number of elements in BenchmarkDup
    
    In BenchmarkDup fuction, heap is created as h := make(myHeap, n)
    and then n elements are added, so first time there are 2*n elements
    in heap.
    
    Fixes #15380
    
    Change-Id: I0508486a847006b3cd545fd695e8b09af339134f
    Reviewed-on: https://go-review.googlesource.com/22310
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 001e8e8070e8ed3a578dbad93cc3f70257e965bd
Author: Keith Randall <khr@golang.org>
Date:   Tue Apr 19 19:35:10 2016 -0700

    runtime: simplify mallocgc flag argument
    
    mallocgc can calculate noscan itself.  The only remaining
    flag argument is needzero, so we just make that a boolean arg.
    
    Fixes #15379
    
    Change-Id: I839a70790b2a0c9dbcee2600052bfbd6c8148e20
    Reviewed-on: https://go-review.googlesource.com/22290
    Reviewed-by: Josh Bleecher Snyder <josharian@gmail.com>
    Run-TryBot: Josh Bleecher Snyder <josharian@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 731531980a36f1fa6434c947c54daf8ba530a65f
Author: Alex Brainman <alex.brainman@gmail.com>
Date:   Wed Apr 20 13:02:41 2016 +1000

    debug/pe: move some code into section.go and symbol.go
    
    Just moving code. No code changes.
    
    Updates #15345
    
    Change-Id: I89c257b7aae4fbd78ce59a42909ecb3ff493659d
    Reviewed-on: https://go-review.googlesource.com/22300
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit d697a9d5d7d75cecd8d49b95ed9a0d1f2f3e8ed4
Author: Alex Brainman <alex.brainman@gmail.com>
Date:   Mon Apr 18 16:12:48 2016 +1000

    debug/pe: introduce StringTable type
    
    PE specification requires that long section and symbol names
    are stored in PE string table. Introduce StringTable that
    implements this functionality. Only string table reading is
    implemented.
    
    Updates #15345
    
    Change-Id: Ib9638617f2ab1881ad707111d96fc68b0e47340e
    Reviewed-on: https://go-review.googlesource.com/22181
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Alex Brainman <alex.brainman@gmail.com>

commit 5183ad696c708ab5fc65006413019b1ef96aa91b
Author: Alex Brainman <alex.brainman@gmail.com>
Date:   Mon Apr 18 16:42:17 2016 +1000

    debug/pe: add some documentation and TODO
    
    No code changes. Just moved ImportDirectory next to ImportedSymbols.
    And moved useless FormatError to the bottom of file.go.
    
    Updates #15345
    
    Change-Id: I91ff243cefd18008b1c5ee9ec4326583deee431b
    Reviewed-on: https://go-review.googlesource.com/22182
    Reviewed-by: David Crawshaw <crawshaw@golang.org>
    Run-TryBot: Alex Brainman <alex.brainman@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit bfe0cbdc50cbc6a632d1e5ebbdcc625d69451935
Author: Keith Randall <khr@golang.org>
Date:   Tue Apr 19 15:38:59 2016 -0700

    cmd/compile,runtime: pass elem type to {make,grow}slice
    
    No point in passing the slice type to these functions.
    All they need is the element type.  One less indirection,
    maybe a few less []T type descriptors in the binary.
    
    Change-Id: Ib0b83b5f14ca21d995ecc199ce8ac00c4eb375e6
    Reviewed-on: https://go-review.googlesource.com/22275
    Reviewed-by: Josh Bleecher Snyder <josharian@gmail.com>

commit 0150f15a924a7b4ac0c794012f6b12c8aa406b54
Author: Josh Bleecher Snyder <josharian@gmail.com>
Date:   Tue Apr 19 15:14:26 2016 -0700

    runtime: call mallocgc directly from makeslice and growslice
    
    The extra checks provided by newarray are
    redundant in these cases.
    
    This shrinks by one frame the call stack expected
    by the pprof test.
    
    name                      old time/op  new time/op  delta
    MakeSlice-8               34.3ns ± 2%  30.5ns ± 3%  -11.03%  (p=0.000 n=24+22)
    GrowSlicePtr-8             134ns ± 2%   129ns ± 3%   -3.25%  (p=0.000 n=25+24)
    
    Change-Id: Icd828655906b921c732701fd9d61da3fa217b0af
    Reviewed-on: https://go-review.googlesource.com/22276
    Run-TryBot: Josh Bleecher Snyder <josharian@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Keith Randall <khr@golang.org>

commit 7b0ba1cff86429f0eb39b916fba54e3061fa5787
Author: Andrew Gerrand <adg@golang.org>
Date:   Wed Apr 20 09:16:00 2016 +1000

    doc: document go1.6.2
    
    Change-Id: Ib3063719cf90dfad139dd723b3b16ef0b45e312e
    Reviewed-on: https://go-review.googlesource.com/22251
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 2244ae417312a59e722643f6ea2f1b8168c599c9
Author: Matthew Dempsky <mdempsky@google.com>
Date:   Tue Apr 19 14:15:37 2016 -0700

    cmd/compile/internal/gc: simplify typecheck's Efoo consts
    
    There's no need for Eiota, Eindir, Eaddr, or Eproc; the values are
    threaded through to denote various typechecking contexts, but they
    don't actually influence typechecking behavior at all.
    
    Also, while here, switch the Efoo const declarations to use iota.
    
    Passes toolstash -cmp.
    
    Change-Id: I5cea869ccd0755c481cf071978f863474bc9c1ed
    Reviewed-on: https://go-review.googlesource.com/22271
    Run-TryBot: Matthew Dempsky <mdempsky@google.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 58012ea785851052a28f20544d7e2da0e0e6eefa
Author: Julia Hansbrough <flowerhack@google.com>
Date:   Mon Apr 18 15:53:29 2016 -0700

    runtime: updated SIGSYS to cause a panic + stacktrace
    
    On GNU/Linux, SIGSYS is specified to cause the process to terminate
    without a core dump. In https://codereview.appspot.com/3749041 , it
    appears that Golang accidentally introduced incorrect behavior for
    this signal, which caused Golang processes to keep running after
    receiving SIGSYS. This change reverts it to the old/correct behavior.
    
    Updates #15204
    
    Change-Id: I3aa48a9499c1bc36fa5d3f40c088fdd7599e0db5
    Reviewed-on: https://go-review.googlesource.com/22202
    Reviewed-by: Ian Lance Taylor <iant@golang.org>

commit 5e74d4095241655ce6bf6e5d32eeaeef353b614f
Author: Robert Griesemer <gri@golang.org>
Date:   Tue Apr 19 14:42:15 2016 -0700

    strconv: fix ParseFloat for special forms of zero values
    
    Fixes #15364.
    
    Change-Id: Id2a349896064c7c9e00e36c55162068bf18162b2
    Reviewed-on: https://go-review.googlesource.com/22272
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit ba7563019f4c5c78cbfd740da1ad68acee37885c
Author: Brad Fitzpatrick <bradfitz@golang.org>
Date:   Tue Apr 19 18:31:17 2016 +0000

    crypto/x509: fix copy/paste-o in error message
    
    Fixes #15371
    
    Change-Id: Iff8d36e1bd9b5641f6b577a30ac6e967f973c939
    Reviewed-on: https://go-review.googlesource.com/22240
    Reviewed-by: Andrew Gerrand <adg@golang.org>

commit 998c8e034c98fccb52b0692b97d36a5a6d3bd31a
Author: Keith Randall <khr@golang.org>
Date:   Tue Apr 19 12:48:09 2016 -0700

    cmd/compile: convT2{I,E} don't handle direct interfaces
    
    We now inline type to interface conversions when the type
    is pointer-shaped.  No need to keep code to handle that in
    convT2{I,E}.
    
    Change-Id: I3a6668259556077cbb2986a9e8fe42a625d506c9
    Reviewed-on: https://go-review.googlesource.com/22249
    Run-TryBot: Keith Randall <khr@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Michel Lespinasse <walken@google.com>

commit 8b20fd000d7e894865442134f9d6d197ac5dabed
Author: Alexandru Moșoi <mosoi@google.com>
Date:   Tue Apr 12 18:24:34 2016 +0200

    cmd/compile: transform some Phis into Or8.
    
    func f(a, b bool) bool {
              return a || b
    }
    
    is now a single instructions (excluding loading and unloading the arguments):
          v10 = ORB <bool> v11 v12 : AX
    
    Change-Id: Iff63399410cb46909f4318ea1c3f45a029f4aa5e
    Reviewed-on: https://go-review.googlesource.com/21872
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Josh Bleecher Snyder <josharian@gmail.com>

commit 082f464823cdb47042a142802776fa7874e6c05b
Author: Robert Griesemer <gri@golang.org>
Date:   Tue Apr 19 14:18:59 2016 -0700

    go/types: trailing semis are ok after valid fallthrough
    
    Fixes #15376.
    
    Change-Id: I9ece80f26b83be129671c961120c157da2ac0079
    Reviewed-on: https://go-review.googlesource.com/22270
    Reviewed-by: Alan Donovan <adonovan@google.com>

commit a4dd6ea1524901fab5deac60772345babd058ae7
Author: Josh Bleecher Snyder <josharian@gmail.com>
Date:   Tue Apr 19 09:18:59 2016 -0700

    runtime: add maxSliceCap
    
    This avoids expensive division calculations
    for many common slice element sizes.
    
    name                      old time/op  new time/op  delta
    MakeSlice-8               51.9ns ± 3%  35.1ns ± 2%  -32.41%  (p=0.000 n=10+10)
    GrowSliceBytes-8          44.1ns ± 2%  44.1ns ± 1%     ~     (p=0.984 n=10+10)
    GrowSliceInts-8           60.9ns ± 3%  60.9ns ± 3%     ~     (p=0.698 n=10+10)
    GrowSlicePtr-8             131ns ± 1%   120ns ± 2%   -8.41%   (p=0.000 n=8+10)
    GrowSliceStruct24Bytes-8   111ns ± 2%   103ns ± 3%   -7.23%    (p=0.000 n=8+8)
    
    Change-Id: I2630eb3d73c814db030cad16e620ea7fecbbd312
    Reviewed-on: https://go-review.googlesource.com/22223
    Reviewed-by: Keith Randall <khr@golang.org>

commit 55ab07c224a358cabe795fb1e52a627194d7daee
Author: Josh Bleecher Snyder <josharian@gmail.com>
Date:   Tue Apr 19 12:26:28 2016 -0700

    cmd/compile: static composite literals are side-effect free
    
    This extends CL 22192.
    
    This removes the remaining performance disparity
    between non-SSA and SSA on the AppendInPlace benchmarks.
    
    Going from non-SSA to SSA:
    
    AppendInPlace/NoGrow/2Ptr-8  1.60µs ± 5%  1.53µs ± 5%  -4.04%  (p=0.000 n=15+14)
    AppendInPlace/NoGrow/3Ptr-8  2.04µs ± 3%  1.96µs ± 2%  -3.90%  (p=0.000 n=13+14)
    AppendInPlace/NoGrow/4Ptr-8  2.83µs ± 8%  2.62µs ± 4%  -7.39%  (p=0.000 n=13+15)
    
    Previously these were 20% regressions.
    
    Change-Id: Ie87810bffd598730658e07585f5e2ef979a12b8f
    Reviewed-on: https://go-review.googlesource.com/22248
    Reviewed-by: Keith Randall <khr@golang.org>

commit 3c6e60c0e41ed42d5df6dcbf134e3a664c08c154
Author: Josh Bleecher Snyder <josharian@gmail.com>
Date:   Tue Apr 19 12:08:33 2016 -0700

    cmd/compile: fix isStaticCompositeLiteral
    
    Previously, isStaticCompositeLiteral would
    return the wrong value for literals like:
    
    [1]struct{ b []byte }{b: []byte{1}}
    
    Note that the outermost component is an array,
    but once we recurse into isStaticCompositeLiteral,
    we never check again that arrays are actually arrays.
    
    Instead of adding more logic to the guts of
    isStaticCompositeLiteral, allow it to accept
    any Node and return the correct answer.
    
    Change-Id: I6af7814a9037bbc7043da9a96137fbee067bbe0e
    Reviewed-on: https://go-review.googlesource.com/22247
    Reviewed-by: Keith Randall <khr@golang.org>

commit 562d398aef1378c781a3164f59f54dd1b0f4638f
Author: Robert Griesemer <gri@golang.org>
Date:   Tue Apr 19 11:27:52 2016 -0700

    go/types: accept trailing empty stmts in terminating stmt lists
    
    Per the latest spec refinement (https://golang.org/cl/19981).
    
    Fixes #14537.
    
    Change-Id: I2dedee942c4da21dc94bdeda466f133827ab5bb9
    Reviewed-on: https://go-review.googlesource.com/22241
    Run-TryBot: Robert Griesemer <gri@golang.org>
    Reviewed-by: Alan Donovan <adonovan@google.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 9b6bf20a35130b2b0754f2ec54370e207e2f2d9b
Author: Michael Munday <munday@ca.ibm.com>
Date:   Fri Apr 15 16:56:37 2016 -0400

    crypto/aes: de-couple asm and go implementations
    
    There is currently only one assembly implementation of AES
    (amd64). While it is possible to fit other implementations to the
    same pattern it complicates the code. For example s390x does not
    use expanded keys, so having enc and dec in the aesCipher struct
    is confusing.
    
    By separating out the asm implementations we can more closely
    match the data structures to the underlying implementation. This
    also opens the door for AES implementations that support block
    cipher modes other than GCM (e.g. CTR and CBC).
    
    This commit changes BenchmarkExpandKey to test the go
    implementation of key expansion. It might be better to have some
    sort of 'initialisation' benchmark instead to cover the startup
    costs of the assembly implementations (which might be doing
    key expansion in a different way, or not at all).
    
    Change-Id: I094a7176b5bbe2177df73163a9c0b711a61c12d6
    Reviewed-on: https://go-review.googlesource.com/22193
    Run-TryBot: Michael Munday <munday@ca.ibm.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 03e216f30d8bad7f4f9dadb50f7f6ca71e632682
Author: Josh Bleecher Snyder <josharian@gmail.com>
Date:   Mon Apr 18 09:40:30 2016 -0700

    cmd/compile: re-enable in-place append optimization
    
    CL 21891 was too clever in its attempts to avoid spills.
    Storing newlen too early caused uses of append in the runtime
    itself to receive an inconsistent view of a slice,
    leading to corruption.
    
    This CL makes the generate code much more similar to
    the old backend. It spills more than before,
    but those spills have been contained to the grow path.
    It recalculates newlen unnecessarily on the fast path,
    but that's measurably cheaper than spilling it.
    
    CL 21891 caused runtime failures in 6 of 2000 runs
    of net/http and crypto/x509 in my test setup.
    This CL has gone 6000 runs without a failure.
    
    
    Benchmarks going from master to this CL:
    
    name                         old time/op  new time/op  delta
    AppendInPlace/NoGrow/Byte-8   439ns ± 2%   436ns ± 2%  -0.72%  (p=0.001 n=28+27)
    AppendInPlace/NoGrow/1Ptr-8   901ns ± 0%   856ns ± 0%  -4.95%  (p=0.000 n=26+29)
    AppendInPlace/NoGrow/2Ptr-8  2.15µs ± 1%  1.95µs ± 0%  -9.07%  (p=0.000 n=28+30)
    AppendInPlace/NoGrow/3Ptr-8  2.66µs ± 0%  2.45µs ± 0%  -7.93%  (p=0.000 n=29+26)
    AppendInPlace/NoGrow/4Ptr-8  3.24µs ± 1%  3.02µs ± 1%  -6.75%  (p=0.000 n=28+30)
    AppendInPlace/Grow/Byte-8     269ns ± 1%   271ns ± 1%  +0.84%  (p=0.000 n=30+29)
    AppendInPlace/Grow/1Ptr-8     275ns ± 1%   280ns ± 1%  +1.75%  (p=0.000 n=30+30)
    AppendInPlace/Grow/2Ptr-8     384ns ± 0%   391ns ± 0%  +1.94%  (p=0.000 n=27+30)
    AppendInPlace/Grow/3Ptr-8     455ns ± 0%   462ns ± 0%  +1.43%  (p=0.000 n=29+29)
    AppendInPlace/Grow/4Ptr-8     478ns ± 0%   479ns ± 0%  +0.23%  (p=0.000 n=30+27)
    
    
    However, for the large no-grow cases, there is still more work to be done.
    Going from this CL to the non-SSA backend:
    
    name                         old time/op  new time/op  delta
    AppendInPlace/NoGrow/Byte-8   436ns ± 2%   436ns ± 2%     ~     (p=0.967 n=27+29)
    AppendInPlace/NoGrow/1Ptr-8   856ns ± 0%   884ns ± 0%   +3.28%  (p=0.000 n=29+26)
    AppendInPlace/NoGrow/2Ptr-8  1.95µs ± 0%  1.56µs ± 0%  -20.28%  (p=0.000 n=30+29)
    AppendInPlace/NoGrow/3Ptr-8  2.45µs ± 0%  1.89µs ± 0%  -22.88%  (p=0.000 n=26+28)
    AppendInPlace/NoGrow/4Ptr-8  3.02µs ± 1%  2.56µs ± 1%  -15.35%  (p=0.000 n=30+28)
    AppendInPlace/Grow/Byte-8     271ns ± 1%   283ns ± 1%   +4.56%  (p=0.000 n=29+29)
    AppendInPlace/Grow/1Ptr-8     280ns ± 1%   288ns ± 1%   +2.99%  (p=0.000 n=30+30)
    AppendInPlace/Grow/2Ptr-8     391ns ± 0%   409ns ± 0%   +4.66%  (p=0.000 n=30+29)
    AppendInPlace/Grow/3Ptr-8     462ns ± 0%   481ns ± 0%   +4.13%  (p=0.000 n=29+30)
    AppendInPlace/Grow/4Ptr-8     479ns ± 0%   502ns ± 0%   +4.81%  (p=0.000 n=27+26)
    
    
    New generated code:
    
    var x []byte
    
    func a() {
    	x = append(x, 1)
    }
    
    
    "".a t=1 size=208 args=0x0 locals=0x48
    	0x0000 00000 (a.go:5)	TEXT	"".a(SB), $72-0
    	0x0000 00000 (a.go:5)	MOVQ	(TLS), CX
    	0x0009 00009 (a.go:5)	CMPQ	SP, 16(CX)
    	0x000d 00013 (a.go:5)	JLS	190
    	0x0013 00019 (a.go:5)	SUBQ	$72, SP
    	0x0017 00023 (a.go:5)	FUNCDATA	$0, gclocals·33cdeccccebe80329f1fdbee7f5874cb(SB)
    	0x0017 00023 (a.go:5)	FUNCDATA	$1, gclocals·33cdeccccebe80329f1fdbee7f5874cb(SB)
    	0x0017 00023 (a.go:6)	MOVQ	"".x+16(SB), CX
    	0x001e 00030 (a.go:6)	MOVQ	"".x+8(SB), DX
    	0x0025 00037 (a.go:6)	MOVQ	"".x(SB), BX
    	0x002c 00044 (a.go:6)	LEAQ	1(DX), BP
    	0x0030 00048 (a.go:6)	CMPQ	BP, CX
    	0x0033 00051 (a.go:6)	JGT	$0, 73
